Incident ID,Month,Year,State,FIPS,City Or County,Address,Business/Location Name,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
3021761,September,2024,Washington,53,Bothell,18218 N Rd,Lynnwood High School,0,0,0,0,"1"
3022036,September,2024,Alabama,01,Pinson,6623 Roe Chandler Rd,Clay-Chalkville High School,0,0,0,0,"1"
3021964,September,2024,Florida,12,Orange Park,4035 Plantation Oaks Blvd,Oakleaf High School,0,0,0,0,"1"
3029212,September,2024,Virginia,51,Norfolk,1301 W 49th St,Webb University Center,0,0,0,0,"1"
3020079,September,2024,Virginia,51,Newport News,16th St and Garden Dr,N/A,1,0,0,0,"0"
3022222,September,2024,South Carolina,45,Aiken,961 Leadership Dr,USC Aiken,0,0,0,0,"1"
3020742,September,2024,Nebraska,31,Omaha,8204 Crown Point Ave,Northwest High School,0,1,0,0,"1"
3021824,September,2024,Tennessee,47,Memphis,3965 S Germantown Rd,Germanshire Elementary School,0,0,0,0,"0"
3021574,September,2024,Illinois,17,Lombard,1014 S Main St,Glenbard East High School,0,0,0,0,"1"
3020758,September,2024,Iowa,19,Des Moines,4419 Center St,Theodore Roosevelt High School,0,0,0,0,"1"
3020948,September,2024,Pennsylvania,42,Philadelphia,1400 block of Cecil B Moore Ave,Temple University Campus,0,1,0,0,"0"
3021504,September,2024,North Carolina,37,Raleigh,5500 Dixon Dr,Sanderson High School,0,0,0,0,"1"
3020472,September,2024,North Carolina,37,Statesville,474 N Center St,Statesville High School,0,0,0,0,"1"
3019803,September,2024,Washington,53,Vancouver,1500 SE Blairmont Dr,Mountain View High School,0,0,0,0,"2"
3019385,September,2024,North Carolina,37,Raleigh,2316 Hillsborough St,North Carolina State University,0,0,0,0,"1"
3019991,September,2024,Mississippi,28,Booneville,167 Co Rd 1040,Thrasher School,0,0,0,0,"1"
3018370,September,2024,Florida,12,Opa Locka,15600 NW 42nd Ave,Omega Activity Center,0,5,0,0,"0"
3020954,September,2024,Nebraska,31,Lincoln,1 Memorial Stadium Dr,Memorial Stadium,0,0,0,0,"1"
3017356,September,2024,Ohio,39,Cincinnati,100 Viking Way,Princeton High School,0,0,0,0,"1"
3017287,September,2024,Mississippi,28,Caledonia,9509 Wolfe Rd,Caledonia Elementary,0,0,0,0,"0"
3017139,September,2024,Maryland,24,Joppa (Joppatowne),555 Joppa Farm Rd,Joppatowne High School,1,0,0,0,"1"
3017742,September,2024,North Carolina,37,Rolesville,1099 E Young St,Rolesville High School,0,0,0,0,"1"
3017541,September,2024,Tennessee,47,Nashville,3812 Hillsboro Pike,Hillsboro High School,0,0,0,0,"1"
3017449,September,2024,West Virginia,54,Martinsburg,S Raleigh St and Berry St,"Martinsburg High School, Cobourn Field",0,3,0,0,"0"
3017416,September,2024,New Mexico,35,Albuquerque,1505 Candelaria Rd NW,Valley High School,0,0,0,0,"1"
3017926,September,2024,Georgia,13,Stockbridge,820 Moseley Dr,Woodland Middle School,0,0,0,0,"1"
3016736,September,2024,Kentucky,21,Manchester,415 Clay County High Rd,Clay County High School,0,0,0,0,"1"
3016333,September,2024,Georgia,13,Thomasville,117 Glenwood Dr,MacIntyre Park Middle School,0,0,0,0,"1"
3016440,September,2024,Louisiana,22,La Place (LaPlace),1 Wildcat Dr,East Saint John High School,0,0,0,0,"1"
3017187,September,2024,Illinois,17,Kankakee,300 N Fifth Ave,Avis Huff School / Avis Huff Student Support Services,0,0,0,0,"0"
3017173,September,2024,South Carolina,45,Union,1163 Lakeside Dr,Union County High School,0,0,0,0,"1"
3021212,September,2024,New York,36,Tonawanda,44 Westfall Ave,Alexander Hamilton Elementary School,0,0,0,0,"0"
3016839,September,2024,Washington,53,Kent,12430 SE 208th St,Kentridge High School,0,0,0,0,"1"
3016700,September,2024,Tennessee,47,Memphis,4649 Horn Lake Rd,Geeter K-8 Middle School,0,0,0,0,"0"
3015569,September,2024,New York,36,Bronx,2190 Folin St,MS 391 - Angelo Patri School,0,1,0,0,"0"
3016014,September,2024,Oklahoma,40,Sapulpa,3 S Mission St,Sapulpa High School,0,0,0,0,"0"
3015835,September,2024,Illinois,17,Elgin,1200 Maroon Dr,Elgin High School,0,0,0,0,"1"
3021541,September,2024,Wisconsin,55,La Crosse,1111 7th St S,Hamilton Elementary School,0,0,0,0,"1"
3014703,September,2024,Georgia,13,Winder,940 Haymon Morris Rd,Apalachee High School,4,7,0,0,"1"
3016282,September,2024,Arizona,04,Tucson,5445 S Alvernon Way,Los Ninos Elementary School,0,0,0,0,"0"
3016056,September,2024,Alabama,01,Cottonwood,663 Houston St,Cottonwood High School,0,0,0,0,"1"
3016011,September,2024,Oklahoma,40,Tulsa,6636 S Mingo Rd,Union High School,0,0,0,0,"0"
3016102,September,2024,Texas,48,Carthage,1110 FM 10,N/A,0,0,0,0,"1"
3015764,September,2024,Iowa,19,Davenport,3505 W Locust St,Davenport West High School,0,0,0,0,"2"
3015740,September,2024,Wisconsin,55,Chippewa Falls,750 Tropicana Blvd,Chippewa Falls Middle School,0,0,0,0,"0"
3019611,September,2024,New York,36,Frankfort,605 Palmer St,Frankfort Schuyler Elementary School,0,0,0,0,"0"
3015694,September,2024,Georgia,13,Pelham,209 Mathewson Ave,Pelham City Middle School,0,0,0,0,"1"
3013926,September,2024,Michigan,26,Rockford,350 N Main St,River Valley Academy,0,0,0,0,"0"
3014413,September,2024,Tennessee,47,Apison,3550 Bentwood Cove Dr,East Hamilton Middle School,0,0,0,0,"1"
3014438,September,2024,Pennsylvania,42,Drexel Hill,601 N Lansdowne Ave,Upper Darby High School,0,0,0,0,"1"
3017106,September,2024,Louisiana,22,Baton Rouge,12121 Tams Dr,Bellaire Magnet School,0,0,0,0,"1"
3014916,September,2024,Iowa,19,Dubuque,605 Lincoln Ave,Audubon Elementary School,0,0,0,0,"1"
3012751,September,2024,Ohio,39,Cleveland (East Cleveland),15300 block of Euclid Ave,N/A,0,3,0,0,"0"
3010113,August,2024,Alabama,01,Huntsville,John Wright Dr NW,University of Alabama Huntsville Material Sciences Building,0,1,0,0,"0"
3010882,August,2024,New Jersey,34,Wayne,45 Reinhart Rd,Passaic County Technical Institute,0,2,0,0,"1"
3014000,August,2024,North Carolina,37,Ramseur,390 Eastern Randolph Rd,Eastern Randolph High School,0,0,0,0,"1"
3015237,August,2024,North Carolina,37,Maxton,11344 Deep Branch Rd,Purnell Swett High School,0,0,0,0,"1"
3011849,August,2024,Michigan,26,Romulus,37300 Wick Rd,Romulus Middle School,0,0,0,0,"1"
3011840,August,2024,Florida,12,Daytona Beach,3917 LPGA Blvd,Daytona Stadium,0,0,0,0,"1"
3011032,August,2024,Maryland,24,Baltimore,3500 Hillen Rd,Mergenthaler Vocational Technical High School,0,0,0,0,"0"
3009200,August,2024,Kentucky,21,Louisville,1300 block of Rosewell Ave,N/A,0,2,0,0,"1"
3010456,August,2024,Michigan,26,Royal Oak,1500 Lexington Blvd,Royal Oak High School,0,0,0,0,"1"
3009720,August,2024,Texas,48,Austin,10701 S 1st St,Akins Early College High School,0,0,0,0,"1"
3009430,August,2024,Florida,12,Tallahassee,550 E Tennessee St,Leon High School,0,0,0,0,"1"
3009068,August,2024,Indiana,18,Columbus,2700 McKinley Ave,McDowell Education Center,0,0,0,0,"0"
3008471,August,2024,North Carolina,37,Charlotte,1825 Oakdale Rd,Oakdale Elementary,0,0,0,0,"1"
3009207,August,2024,Maryland,24,Baltimore,5401 Kenwood Ave,Overlea High School,0,0,0,0,"1"
3007338,August,2024,Arizona,04,Phoenix,3835 W Thomas Rd,West Phoenix High School,0,0,0,0,"1"
3015497,August,2024,Mississippi,28,Decatur,275 W Broad St,East Central Community College,0,0,0,0,"1"
3010331,August,2024,Georgia,13,Warner Robins,401 S Davis Dr,Warner Robins High School,0,0,0,0,"1"
3008467,August,2024,North Carolina,37,Charlotte,2700 Dorchester Pl,Sedgefield Middle School,0,0,0,0,"1"
3008678,August,2024,Tennessee,47,Nashville,3150 McGavock Pike,McGavock High School,0,0,0,0,"1"
3011022,August,2024,California,06,Los Angeles,7676 San Pedro St,John C. Fremont High School,0,0,0,0,"1"
3009615,August,2024,Texas,48,Bellaire,5100 Maple St,Bellaire High School,0,0,0,0,"1"
3007487,August,2024,Tennessee,47,Chattanooga,2500 Market St,Howard High School,0,0,0,0,"1"
3006424,August,2024,Indiana,18,Avon,174 S Avon Ave,Avon Intermediate School East,0,0,0,0,"0"
3007614,August,2024,Tennessee,47,Nashville,2700 Childrens Way,"Vanderbilt University, Recreation and Wellness Center:",0,0,0,0,"1"
3007059,August,2024,California,06,Visalia,1717 N McAuliff St,Golden West High School,0,0,0,0,"1"
3011019,August,2024,California,06,Los Angeles,10860 Denker Ave,Washington Preparatory High School,0,0,0,0,"1"
3006262,August,2024,Texas,48,Houston,6200 Main St,Rice University Jones College,1,0,1,0,"0"
3003784,August,2024,Texas,48,San Antonio,1400 Jackson Keller Rd,Lee High School,0,0,0,0,"1"
3009146,August,2024,Georgia,13,Covington,3109 Newton Dr NE,Sharp Stadium,0,0,0,0,"0"
3006137,August,2024,Texas,48,Dallas,1802 Moser Ave,Solar Prepatory School for Boys,0,0,0,0,"1"
3003543,August,2024,Ohio,39,Dayton (West Carrollton),424 E Main St,West Carrollton Middle School,0,0,0,0,"1"
3002920,August,2024,Georgia,13,Augusta,3855 Old Waynesboro Rd,Cross Creek High School,0,0,0,0,"0"
3002672,August,2024,Texas,48,El Paso,900 Resler Dr,Franklin High School,0,0,1,0,"0"
3004260,August,2024,Alabama,01,Tallassee,502 Barnett Blvd,Tallassee High School,0,0,0,0,"1"
3010717,August,2024,California,06,Vallejo,1800 Ascot Pkwy,Jesse Bethel High School,0,0,0,0,"1"
3004093,August,2024,Louisiana,22,Baton Rouge,12121 Tams Dr,Belaire High School,0,0,0,0,"1"
3004083,August,2024,Louisiana,22,Baton Rouge,800 E McKinley St,McKinley High School,0,0,0,0,"1"
3003047,August,2024,Mississippi,28,Tunica (county),N/A,N/A,0,0,0,0,"1"
3002522,August,2024,Louisiana,22,Opelousas,332 E South St,South Louisiana Community College - Opelousas Campus,0,0,0,0,"1"
3000787,August,2024,Texas,48,San Antonio,600 N Ellison Dr,John Paul Stevens High School,0,0,0,0,"1"
3020251,August,2024,California,06,Tracy,650 W 10th St,Stein Continuation High School,0,0,0,0,"1"
3000900,August,2024,Louisiana,22,Bossier City,777 Bearkat Dr,Bossier High School,0,1,0,0,"1"
2999708,August,2024,Georgia,13,Savannah,12419 Largo Dr,Windsor Forest High School,0,0,0,0,"2"
3001799,August,2024,Nevada,32,North Las Vegas,150 W Deer Springs Way,Legacy High School,0,0,0,0,"1"
3000986,August,2024,North Carolina,37,Winston Salem (Winston-salem),3545 Carver School Rd,Carver High School,0,0,0,0,"1"
3001032,August,2024,Mississippi,28,Itta Bena,14000 Highway 82 W,Mississippi Valley State University,0,2,0,0,"0"
2998258,August,2024,Mississippi,28,Itta Bena,14000 US-82,Mississippi Valley State University,0,2,0,0,"0"
2997394,August,2024,Texas,48,Victoria,4103 E Mockingbird Ln,Victoria East High School,0,0,0,0,"2"
3000827,August,2024,Georgia,13,Columbus,Cusseta Road and 23rd Ave,N/A,0,0,0,0,"0"
3000587,August,2024,Louisiana,22,Hammond,45168 River Rd,Hammond High School,0,0,0,0,"1"
3012804,August,2024,California,06,Reseda,8140 Vanalden Ave,Cleveland High School,0,0,0,0,"1"
2997946,August,2024,California,06,Sylmar,13050 Borden Ave,Sylmar High School,0,0,0,0,"1"
2997508,August,2024,Mississippi,28,Columbus,215 Hemlock St,Columbus High School Field House,0,0,0,0,"1"
3000908,August,2024,Georgia,13,Mount Airy,2059 Old Hwy 197 S,Raider Stadium,0,0,0,0,"1"
2996050,August,2024,Indiana,18,Terre Haute,2800 W Harlan Dr,Hoosier Prairie Elementary,0,0,0,0,"0"
